idx,caption,label,entities,factcheck_score,entailment_score,contradiction_score,neutral_score,wiki_context_length,status
0,Jake Davis who has been released from a young offender institution first appeared in court in 2011,True,Jake Davis,0.044268,0.121324,0.077055,0.801621,286,ok
1,The ring was found by Philip Cooper while using his metal detector in Cwm Cadnat,True,Philip Cooper|Cwm Cadnat,-0.005568,0.008223,0.013791,0.977986,929,ok
2,Banned food items at Hall Road Academy include crisps chocolate sweets and fizzy drinks,True,Hall Road Academy,0.0,0.5,0.5,0.0,0,no_wiki_result
3,Skier Sean Rose in action at the 2006 Winter Paralympic Games in Turin,True,Skier Sean Rose|Winter Paralympic Games|Turin,-0.202796,0.282804,0.4856,0.231596,3035,ok
4,Officials said dozens of villages had been severely damaged by the quake,True,Officials|dozens|villages|the quake,0.001117,0.002538,0.001421,0.996041,4053,ok
5,Alex Salmond was elected to the House of Commons in last week s general election,True,Alex Salmond|the House of Commons,0.000194,0.000752,0.000558,0.99869,1977,ok
6,The Masjid Darussalam in San Francisco was built in a former Victorianstyle department store and eschews sex segregated worship,True,The Masjid Darussalam|San Francisco|Victorianstyle,0.007008,0.011821,0.004813,0.983365,1516,ok
7,The airport was bought by the Welsh government for 52m in 2013,True,Welsh,0.010809,0.011054,0.000245,0.988701,27,ok
8,Anyone found killing a swan can faces a maximum 5000 fine or imprisonment,True,Anyone|a swan|a maximum 5000 fine|imprisonment,0.000548,0.000961,0.000413,0.998626,1721,ok
9,The idea of adaptive optics has been embraced by a range of scientific applications not just astronomy,True,The idea|adaptive optics|a range|scientific applications,0.000769,0.007089,0.00632,0.986592,1267,ok
10,Kurdish fighters have clashed with alNusra militiamen near the Turkish border,True,Kurdish|Turkish,0.877931,0.886571,0.008641,0.104788,923,ok
11,The attack took place at Dixons Kings Academy in Bradford on 11 June,True,Dixons Kings Academy|Bradford,-0.001472,0.000573,0.002045,0.997382,2153,ok
12,This Lego dragon was found on a beach in Brighton by artist Ella Robinson,True,Lego|Brighton|Ella Robinson,-0.001212,0.000801,0.002013,0.997186,2970,ok
13,This piece of plastic appears to be part of a Lego crate which may have contained some of the lost toys,True,Lego,0.000375,0.00069,0.000316,0.998994,1458,ok
14,Battir in the Bethlehem governorate has been proposed as a UNESCO world heritage site,True,Battir|Bethlehem|UNESCO,-0.04669,0.016884,0.063573,0.919543,4339,ok
15,River Markland age four found this octopus at Castle Beach in Falmouth,True,Castle Beach|Falmouth,0.007515,0.007697,0.000182,0.992121,33,ok
16,Patricia Denis found a Lego flipper similar to those from the Tokio Express in Melbourne Australia,True,Patricia Denis|Lego|the Tokio Express|Melbourne,-0.001075,0.00171,0.002785,0.995505,2971,ok
17,The Livingstones with three of their children in 1850 Lake Ngami,True,Livingstones|Lake Ngami,8e-05,9.9e-05,1.9e-05,0.999881,445,ok
18,These pieces were found by Ally Atkinson in the Lizard Gunwalloe and Poldhu in southern Cornwall,True,Ally Atkinson|the Lizard Gunwalloe|Poldhu|Cornwall,-0.030707,0.021682,0.05239,0.925928,2974,ok
19,The report recommends better working between NHS 24 and the Scottish Ambulance Service,True,NHS|the Scottish Ambulance Service,0.000201,0.000472,0.000271,0.999256,1506,ok
20,Enid Blyton pictured with daughters Gillian and Imogen was a prolific writer,True,Enid Blyton|Gillian|Imogen,-5.4e-05,0.000434,0.000488,0.999078,1587,ok
21,Scotgold hope to extract gold and silver from the mine which is based at Cononish,True,Cononish,0.08489,0.273985,0.189095,0.536921,233,ok
22,Plymouth University chairman of governors William Taylor faces allegations of sexual harassment,True,Plymouth University|William Taylor,0.000192,0.000272,8e-05,0.999649,413,ok
23,Laura Ferris 11 found these assorted Lego items at Penhale near Perranporth Cornwall,True,Laura Ferris 11|Lego|Penhale|Cornwall,0.000246,0.001505,0.001259,0.997237,3759,ok
24,Police want to speak to the woman dressed as the Incredible Hulk character,True,Police|the woman|the Incredible Hulk character,0.00632,0.006671,0.000351,0.992978,1509,ok
25,These items were caught in a fisherman s net 25 miles out to sea off the Cornish coast,True,Cornish,0.002429,0.002796,0.000367,0.996837,393,ok
26,The university has appointed a barrister to support their investigation into allegations against Mr Taylor,True,Taylor,0.182541,0.189526,0.006985,0.803489,50,ok
27,Members of the Pickard family hold some of the dragons found by their relative Margaret when in her 80s,True,Pickard|Margaret,0.027289,0.031118,0.003829,0.965053,2269,ok
28,According to the Solar Trade Association over 34000 are employed in the industry,True,the Solar Trade Association,0.0,0.5,0.5,0.0,0,no_wiki_result
29,The recall affects millions of cables sold with Surface Pro tablets,True,Surface Pro,0.001736,0.001805,6.9e-05,0.998126,132,ok
30,The woman dressed as the Incredible Hulk had green body paint and dyed red hair,True,the Incredible Hulk,0.048705,0.052102,0.003397,0.944501,1522,ok
31,Deployment of rooftop solar installations in the UK has increased significantly in recent years,True,UK,-0.39117,0.022795,0.413964,0.563241,1505,ok
32,The whale has tipped onto its side and is floating near Joppa beach,True,Joppa,-0.000248,0.000122,0.00037,0.999508,158,ok
