idx,sample_id,image_path,fake_cls,gt_answers,label,clip_prob,clip_sim
0,smoke_0000,/real/guardian_val_50/guardian_val_37.png,original,True,0,0.036953527,0.21796495
1,smoke_0001,/real/bbc_val_50/BBC_val_17.png,original,True,0,0.05233334,0.25672656
2,smoke_0002,/real/usa_today_val_50/usa_today_val_27.png,original,True,0,0.008809522,0.3164866
3,smoke_0003,/real/fakeddit_val_50/fakeddit_val_42.png,original,True,0,0.046609215,0.23076893
4,smoke_0004,/real/guardian_val_50/guardian_val_48.png,original,True,0,0.011026677,0.27926043
5,smoke_0005,/real/coco_val_50/coco_val_25.png,original,True,0,0.95304686,0.19570419
6,smoke_0006,/real/coco_val_50/coco_val_17.png,original,True,0,0.6268145,0.1926381
7,smoke_0007,/real/wash_val_50/wash_val_6.png,original,True,0,0.00054288516,0.3295595
8,smoke_0008,/real/wash_val_50/wash_val_19.png,original,True,0,0.0015503509,0.32609385
9,smoke_0009,/real/wash_val_50/wash_val_30.png,original,True,0,0.98497516,0.13036634
10,smoke_0010,/real/fakeddit_val_50/fakeddit_val_27.png,original,True,0,0.00075670175,0.29979622
11,smoke_0011,/real/coco_val_50/coco_val_37.png,original,True,0,0.15694916,0.24055561
12,smoke_0012,/real/usa_today_val_50/usa_today_val_0.png,original,True,0,0.006197411,0.27365118
13,smoke_0013,/real/fakeddit_val_50/fakeddit_val_16.png,original,True,0,0.26369312,0.19071412
14,smoke_0014,/real/coco_val_50/coco_val_45.png,original,True,0,0.021914683,0.24392265
15,smoke_0015,/real/guardian_val_50/guardian_val_36.png,original,True,0,0.01710899,0.28824404
16,smoke_0016,/real/bbc_val_50/BBC_val_21.png,original,True,0,0.0024247805,0.28433844
17,smoke_0017,/real/bbc_val_50/BBC_val_19.png,original,True,0,0.0016686918,0.29360366
18,smoke_0018,/real/guardian_val_50/guardian_val_1.png,original,True,0,0.0038301176,0.28503823
19,smoke_0019,/real/wash_val_50/wash_val_31.png,original,True,0,0.028527992,0.26757616
20,smoke_0020,/real/guardian_val_50/guardian_val_9.png,original,True,0,0.00016466489,0.33015245
21,smoke_0021,/real/coco_val_50/coco_val_22.png,original,True,0,0.07720272,0.26162875
22,smoke_0022,/real/coco_val_50/coco_val_1.png,original,True,0,0.12250948,0.2541348
