idx,caption,label,entities,factcheck_score,entailment_score,contradiction_score,neutral_score,wiki_context_length,status,n_chunks,top_chunks_used,avg_top_sim
0,Jake Davis who has been released from a young offender institution first appeared in court in 2011,True,Jake Davis,0.031247,0.11602,0.084773,0.799207,260,ok,1,1,0.2039785292854426
1,The ring was found by Philip Cooper while using his metal detector in Cwm Cadnat,True,Philip Cooper|Cwm Cadnat,-0.005568,0.008223,0.013791,0.977986,929,ok,1,1,0.09620170372091405
2,Banned food items at Hall Road Academy include crisps chocolate sweets and fizzy drinks,True,Hall Road Academy,0.0,0.5,0.5,0.0,0,no_wiki_result,0,0,0.0
3,Skier Sean Rose in action at the 2006 Winter Paralympic Games in Turin,True,Skier Sean Rose|Winter Paralympic Games|Turin,0.00255,0.002986,0.000436,0.996578,1500,ok,13,2,0.08667606341609747
4,Officials said dozens of villages had been severely damaged by the quake,True,Officials|dozens|villages|the quake,0.00543,0.006737,0.001306,0.991957,1500,ok,23,3,0.024049207395647098
5,Alex Salmond was elected to the House of Commons in last week s general election,True,Alex Salmond|the House of Commons,0.002634,0.005523,0.002888,0.991589,1500,ok,11,2,0.1294048702455669
6,The Masjid Darussalam in San Francisco was built in a former Victorianstyle department store and eschews sex segregated worship,True,The Masjid Darussalam|San Francisco|Victorianstyle,0.006498,0.010768,0.00427,0.984961,1500,ok,5,1,0.11830128716232731
7,The airport was bought by the Welsh government for 52m in 2013,True,Welsh,0.032891,0.036075,0.003184,0.960742,374,ok,4,1,0.0696449313618228
8,Anyone found killing a swan can faces a maximum 5000 fine or imprisonment,True,Anyone|a swan|a maximum 5000 fine|imprisonment,-0.00076,0.000996,0.001756,0.997249,1500,ok,8,2,0.03239514169355672
9,The idea of adaptive optics has been embraced by a range of scientific applications not just astronomy,True,The idea|adaptive optics|a range|scientific applications,-0.01158,0.007772,0.019351,0.972877,1500,ok,9,2,0.08845147311950483
10,Kurdish fighters have clashed with alNusra militiamen near the Turkish border,True,Kurdish|Turkish,0.943488,0.948849,0.005362,0.045789,1402,ok,4,2,0.12129764440611072
11,The attack took place at Dixons Kings Academy in Bradford on 11 June,True,Dixons Kings Academy|Bradford,0.000644,0.001584,0.00094,0.997476,1500,ok,13,2,0.12104081580183039
